Height,Angle,Radius,Thickness
160.000000,345.000000,26.144189,0.122333
160.000000,350.000000,26.144189,0.121889
160.000000,355.000000,26.144189,0.121444
155.000000,0.000000,28.435569,0.114000
155.000000,5.000000,28.435569,0.114778
155.000000,10.000000,28.435569,0.115556
155.000000,15.000000,28.435569,0.116333
155.000000,20.000000,28.435569,0.117111
155.000000,25.000000,28.435569,0.117889
155.000000,30.000000,28.435569,0.118667
155.000000,35.000000,28.435569,0.119444
155.000000,40.000000,28.435569,0.120222
155.000000,45.000000,28.435569,0.121000
155.000000,50.000000,28.435569,0.120333
155.000000,55.000000,28.435569,0.119667
155.000000,60.000000,28.435569,0.119000
155.000000,65.000000,28.435569,0.118333
155.000000,70.000000,28.435569,0.117667
155.000000,75.000000,28.435569,0.117000
155.000000,80.000000,28.435569,0.116333
155.000000,85.000000,28.435569,0.115667
155.000000,90.000000,28.435569,0.115000
155.000000,95.000000,28.435569,0.114889
155.000000,100.000000,28.435569,0.114778
155.000000,105.000000,28.435569,0.114667
155.000000,110.000000,28.435569,0.114556
155.000000,115.000000,28.435569,0.114444
155.000000,120.000000,28.435569,0.114333
155.000000,125.000000,28.435569,0.114222
155.000000,130.000000,28.435569,0.114111
155.000000,135.000000,28.435569,0.114000
155.000000,140.000000,28.435569,0.114556
155.000000,145.000000,28.435569,0.115111
155.000000,150.000000,28.435569,0.115667
155.000000,155.000000,28.435569,0.116222
155.000000,160.000000,28.435569,0.116778
155.000000,165.000000,28.435569,0.117333
155.000000,170.000000,28.435569,0.117889
155.000000,175.000000,28.435569,0.118444
155.000000,180.000000,28.435569,0.119000
155.000000,185.000000,28.435569,0.121111
155.000000,190.000000,28.435569,0.123222
155.000000,195.000000,28.435569,0.125333
155.000000,200.000000,28.435569,0.127444
155.000000,205.000000,28.435569,0.129556
155.000000,210.000000,28.435569,0.131667
155.000000,215.000000,28.435569,0.133778
155.000000,220.000000,28.435569,0.135889
155.000000,225.000000,28.435569,0.138000
155.000000,230.000000,28.435569,0.137667
155.000000,235.000000,28.435569,0.137333
155.000000,240.000000,28.435569,0.137000
155.000000,245.000000,28.435569,0.136667
155.000000,250.000000,28.435569,0.136333
155.000000,255.000000,28.435569,0.136000
155.000000,260.000000,28.435569,0.135667
155.000000,265.000000,28.435569,0.135333
155.000000,270.000000,28.435569,0.135000
155.000000,275.000000,28.435569,0.133222
155.000000,280.000000,28.435569,0.131444
155.000000,285.000000,28.435569,0.129667
155.000000,290.000000,28.435569,0.127889
155.000000,295.000000,28.435569,0.126111
155.000000,300.000000,28.435569,0.124333
155.000000,305.000000,28.435569,0.122556
155.000000,310.000000,28.435569,0.120778
155.000000,315.000000,28.435569,0.119000
155.000000,320.000000,28.435569,0.118444
155.000000,325.000000,28.435569,0.117889
155.000000,330.000000,28.435569,0.117333
155.000000,335.000000,28.435569,0.116778
155.000000,340.000000,28.435569,0.116222
155.000000,345.000000,28.435569,0.115667
155.000000,350.000000,28.435569,0.115111
155.000000,355.000000,28.435569,0.114556
150.000000,0.000000,30.476782,0.106000
150.000000,5.000000,30.476782,0.106222
150.000000,10.000000,30.476782,0.106444
150.000000,15.000000,30.476782,0.106667
150.000000,20.000000,30.476782,0.106889
150.000000,25.000000,30.476782,0.107111
150.000000,30.000000,30.476782,0.107333
150.000000,35.000000,30.476782,0.107556
150.000000,40.000000,30.476782,0.107778
150.000000,45.000000,30.476782,0.108000
150.000000,50.000000,30.476782,0.108111
150.000000,55.000000,30.476782,0.108222
150.000000,60.000000,30.476782,0.108333
150.000000,65.000000,30.476782,0.108444
150.000000,70.000000,30.476782,0.108556
